buffer,concentration_mM,pH,anisotropy_index
NaHEPES,10,7.0,0.560814678078086
NaHEPES,50,7.0,0.9498911248532403
NaHEPES,100,6.0,0.6994300961396672
NaHEPES,100,6.5,0.8264517841837691
NaHEPES,100,7.0,0.8572561895326808
NaHEPES,100,7.5,0.9273849156857268
NaHEPES,100,8.0,0.6632805033464696
NaHEPES,250,7.0,0.9182276970961959
Naphosphate,10,7.0,0.9110228295363632
Naphosphate,50,7.0,0.9247238582563264
Naphosphate,100,6.0,0.934882162780854
Naphosphate,100,6.5,0.860794480429631
Naphosphate,100,7.0,0.8759562598291097
Naphosphate,100,7.5,0.7249798123021203
Naphosphate,100,8.0,0.8944285508695139
Naphosphate,250,7.0,0.7195765380617012
