buffer,concentration_mM,pH,I_M,chi2,p_value,interpretation
NaHEPES,10,7.0,1.1989772162367431,3411.7977240867476,0.0,clustered
NaHEPES,100,6.0,1.2368377205968544,4300.5178251201505,0.0,clustered
Naphosphate,100,7.5,1.38546745805311,7064.330452465685,0.0,clustered
NaHEPES,100,7.5,1.4680965466855076,7664.694824801627,0.0,clustered
NaHEPES,100,7.0,1.4726354048259582,7260.001207729467,0.0,clustered
NaHEPES,250,7.0,1.6860007666181998,8974.444912703191,0.0,clustered
Naphosphate,50,7.0,1.7117575577573296,9019.795918367348,0.0,clustered
NaHEPES,50,7.0,1.861785719954171,9634.954699660746,0.0,clustered
NaHEPES,100,6.5,1.9510663362554326,10120.677231025853,0.0,clustered
Naphosphate,100,6.5,2.3310411193311986,11378.458648544685,0.0,clustered
Naphosphate,10,7.0,2.817753792655278,11638.312948411341,0.0,clustered
NaHEPES,100,8.0,4.8728323260455015,13248.768647281919,0.0,clustered
Naphosphate,250,7.0,6.057930775644594,11949.420129270546,0.0,clustered
Naphosphate,100,8.0,14.394100545983123,21974.161455009573,0.0,clustered
Naphosphate,100,7.0,16.81665627134753,19346.321274763133,0.0,clustered
Naphosphate,100,6.0,94.28218839983546,21521.081447963803,0.0,clustered
